confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	1	9	0.9999812794407306	-5.601765713271618	N/A	28.416837630692815	C33H64NO10P	[M + H]+	GHQQYDSARXURNG	InChI=1S/C33H64NO10P/c1-5-6-7-8-9-10-11-12-13-14-15-18-21-24-32(37)41-28-30(29-43-45(39,40)42-27-26-34(2,3)4)44-33(38)25-22-19-16-17-20-23-31(35)36/h30H,5-29H2,1-4H3,(H-,35,36,39,40)/p+1	azelaoyl PC	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC(=O)O	8.0	10995965;10995966;46907870;46907871;56846165;56846166;86289475	COCONUT:(CNP0313305);PubChem:(10995965 10995966 46907870 46907871 56846165 56846166 86289475);CHEBI:(61817 78207);additional;MeSH:(46907870);Training Set;PubMed	2637926	666.43423	340.98236366732976	2826_group2_sirius_11491	11491
2	1	1	1	11	0.9996786204174384	-149.63046045090405	N/A	26.458846026228525	C25H52O10S	[M + H3N + H]+	HFJHRIIHBNHCLJ	InChI=1S/C25H52O10S/c1-2-3-4-5-6-7-8-9-10-11-12-13-29-14-15-30-16-17-31-18-19-32-20-21-33-22-23-34-24-25-35-36(26,27)28/h2-25H2,1H3,(H,26,27,28)	2-[2-[2-[2-[2-(2-tridecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethyl hydrogen sulfate	CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOS(=O)(=O)O	4.4000001	113067	PubChem:(113067);NORMAN:(NS00055654)	262146	562.36174	317.01	2929_group2_sirius_10631	10631
3	1	10	1	10	0.9993346066356064	-378.9858008167762	N/A	12.280339600009567	C26H49N13O7	[M + H3N + H]+	WKSNPWYCRPYBBS	InChI=1S/C26H49N13O7/c1-15(36-24(46)18(38-20(42)12-27)7-4-10-33-25(29)30)22(44)39-17(6-5-11-34-26(31-2)32-3)23(45)35-13-21(43)37-16(14-40)8-9-19(28)41/h14-18H,4-13,27H2,1-3H3,(H2,28,41)(H,35,45)(H,36,46)(H,37,43)(H,38,42)(H,39,44)(H4,29,30,33)(H2,31,32,34)	null	CC(C(=O)NC(CCCNC(=NC)NC)C(=O)NCC(=O)NC(CCC(=O)N)C=O)NC(=O)C(CCCN=C(N)N)NC(=O)CN	-5.5	46864264	PubChem:(46864264);PubChem class - bio and metabolites	16777218	673.41648	185.72	6245_group2_sirius_4041	4041
4	1	1	1	2	0.999026285284485	-8.975262099641787	N/A	29.165762719927056	C14H16N2O5	[M + H]+	ILJOYLTXYCZXTB	InChI=1S/C14H16N2O5/c17-9-3-1-8(2-4-9)7-11(14(20)21)16-13(19)10-5-6-12(18)15-10/h1-4,10-11,17H,5-7H2,(H,15,18)(H,16,19)(H,20,21)	null	C1CC(=O)NC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.200000003	23422547;28203846;28203848;28203850;25796392;61152383;104904456;108102932;108102934	COCONUT:(CNP0411198);Training Set;PubChem:(23422547 28203846 28203848 28203850 25796392 61152383 104904456 108102932 108102934);ZINC bio:(ZINC13541624);additional	2646018	293.11367	92.31	2805_group2_sirius_748	748
5	1	1	1	1	0.9990202577821737	-7.597411930121734	N/A	29.13414307867304	C14H16N2O5	[M + H]+	ILJOYLTXYCZXTB	InChI=1S/C14H16N2O5/c17-9-3-1-8(2-4-9)7-11(14(20)21)16-13(19)10-5-6-12(18)15-10/h1-4,10-11,17H,5-7H2,(H,15,18)(H,16,19)(H,20,21)	null	C1CC(=O)NC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)O	0.200000003	23422547;28203846;28203848;28203850;25796392;61152383;104904456;108102932;108102934	COCONUT:(CNP0411198);Training Set;PubChem:(23422547 28203846 28203848 28203850 25796392 61152383 104904456 108102932 108102934);ZINC bio:(ZINC13541624);additional	2646018	293.11331	72.71659179687501	169_group2_sirius_627	627
6	1	1	1	1	0.9988985801433727	-1.3938841920340461	N/A	29.769850323364604	C13H16N2O4	[M + H]+	JFLIEFSWGNOPJJ	InChI=1S/C13H16N2O4/c14-11(16)7-6-10(13(18)19)15-12(17)8-9-4-2-1-3-5-9/h1-5,10H,6-8H2,(H2,14,16)(H,15,17)(H,18,19)	PA-L-Glutamine	C1=CC=C(C=C1)CC(=O)NC(CCC(=O)N)C(=O)O	0.0	92258;306137;6713098;13728880;25200515;118797126;129627056;135153751	HMDB:(6344 62645);SuperNatural:(SN00216659);ZINC bio:(ZINC01529869 ZINC01530235);additional;MeSH:(92258);PubMed;NORMAN:(NS00014900);COCONUT:(CNP0082728 CNP0324209);PubChem:(92258 306137 6713098 13728880 25200515 118797126 129627056 135153751);CHEBI:(17884 8087 58310);PubChem class - bio and metabolites;KEGG:(C04148);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-1097)	87845230	265.11846	112.66285309283768	1324_group2_sirius_899	899
7	1	1	1	1	0.9988960934691378	-0.6232321225040219	N/A	22.75707928690743	C14H18N2O4	[M + H]+	VNYDHJARLHNEGA	InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)	D-Proline, D-tyrosyl-	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)O	0.441337854	7408393;9795637;13055260;11902950;20111643;44369315;61158795;71419915;103868722;103869093;103869597	COCONUT;HMDB:(29113);PubChem:(7408393 9795637 13055260 11902950 20111643 44369315 61158795 71419915 103868722 103869093 103869597);CHEBI:(141456);ZINC bio:(ZINC02560698 ZINC04899652);additional;PubChem class - bio and metabolites;MeSH:(9795637 13055260);Training Set;PubMed;KEGG Mine	8609357934	279.13415	37.07617477416992	362_group2_sirius_262	262
8	1	1	1	1	0.9987716406309612	-1.5415002308512957	N/A	21.14258492137424	C14H18N2O4	[M + H]+	VNYDHJARLHNEGA	InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)	D-Proline, D-tyrosyl-	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)O	0.441337854	7408393;9795637;13055260;11902950;20111643;44369315;61158795;71419915;103868722;103869093;103869597	COCONUT;HMDB:(29113);PubChem:(7408393 9795637 13055260 11902950 20111643 44369315 61158795 71419915 103868722 103869093 103869597);CHEBI:(141456);ZINC bio:(ZINC02560698 ZINC04899652);additional;PubChem class - bio and metabolites;MeSH:(9795637 13055260);Training Set;PubMed;KEGG Mine	8609357934	279.13424	50.09	2771_group2_sirius_409	409
9	1	1	1	1	0.9987042303837014	-0.31895231193377843	N/A	84.358031571641	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.0973	69.36	4741_group2_sirius_604	604
10	1	1	1	1	0.9986840986275821	-0.24156281062973292	N/A	86.13310105428167	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.09723	60.623668333211754	4060_group2_sirius_522	522
