query_spectrum_nr,ms2query_model_prediction,precursor_mz_difference,precursor_mz_query_spectrum,precursor_mz_analog,inchikey,analog_compound_name,smiles,retention_time,feature_id,cf_kingdom,cf_superclass,cf_class,cf_subclass,cf_direct_parent,npc_class_results,npc_superclass_results,npc_pathway_results
1,0.3459,267.7421,150.5959,418.3380,QQBPLXNESPTPNU,N-Oleoyldopamine105955-11-1,CCCCCCCC/C=C\CCCCCCCC(=O)NCCc1ccc(O)c(O)c1,289.3160,9699,Organic compounds,Benzenoids,Phenols,Benzenediols,N-acyldopamines,N-acyl amines,Fatty amides,Fatty acids
2,0.6290,0.0000,151.0390,151.0390,MRIXVKKOHPQOFK,4-Methoxysalicylic acid,COc1ccc(C(=O)O)c(O)c1,198.2840,4684,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,P-methoxybenzoic acids and derivatives,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
3,0.6295,0.0000,151.0390,151.0390,WKOLLVMJNQIZCI,Vanillic acid,COc1cc(C(=O)O)ccc1O,167.3470,3095,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,M-methoxybenzoic acids and derivatives,Cinnamic acids and derivatives; Simple phenolic acids,Phenolic acids (C6-C1); Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
4,0.6241,0.0004,151.0754,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,227.5040,6318,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
5,0.6241,0.0004,151.0754,151.0750,XMIIGOLPHOKFCH,PhenylPropionicAcid,C1=CC=C(C=C1)CCC(=O)O,115.8840,909,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Phenylpropanoic acids,,,Shikimates and Phenylpropanoids
6,0.6241,0.0004,151.0754,151.0750,XMIIGOLPHOKFCH,PhenylPropionicAcid,C1=CC=C(C=C1)CCC(=O)O,92.0880,740,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Phenylpropanoic acids,,,Shikimates and Phenylpropanoids
7,0.6241,0.0004,151.0754,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,140.3990,1677,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
8,0.6281,0.0004,151.0754,151.0750,OPVAJFQBSDUNQA,"3,4-Dimethylbenzoic acid",CC1=C(C=C(C=C1)C(=O)O)C,97.1210,792,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
9,0.6241,0.0004,151.0754,151.0750,AUDBREYGQOXIFT,"(3,5-dimethoxyphenyl)methan-1-ol",COc1cc(CO)cc(OC)c1,172.0270,3434,Organic compounds,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes,Dimethoxybenzenes,,,Polyketides
10,0.6241,0.0005,151.0755,151.0750,XMIIGOLPHOKFCH,PhenylPropionicAcid,C1=CC=C(C=C1)CCC(=O)O,128.1950,1252,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Phenylpropanoic acids,,,Shikimates and Phenylpropanoids
11,0.6307,0.0005,151.0755,151.0750,XMIIGOLPHOKFCH,Hydrocinnamic acid,C1=CC=C(C=C1)CCC(=O)O,200.9870,4861,Organic compounds,Phenylpropanoids and polyketides,Phenylpropanoic acids,,Phenylpropanoic acids,,,Shikimates and Phenylpropanoids
13,0.5279,34.0061,151.0971,117.0910,WDAXFOBOLVPGLV,ethyl_isobutyrate,CCOC(=O)C(C)C,374.3460,13378,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,Carboxylic acid esters,Wax monoesters,Fatty esters,Fatty acids
14,0.7751,0.0002,151.1118,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,250.0880,7428,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
15,0.6246,0.0002,151.1118,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,272.0800,8782,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
16,0.7804,0.0002,151.1118,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,213.9510,5858,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
17,0.7857,0.0002,151.1118,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,152.7290,2209,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
18,0.7809,0.0001,151.1119,151.1120,ULDHMXUKGWMISQ,CARVONE,C=C(C)[C@H]1CC=C(C)C(=O)C1,168.1290,3112,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
19,0.3775,234.1212,152.0068,386.1280,AKHPLUPJRABLGT,"(6-methyl-6-azabicyclo[4.4.0]dec-2-yl)methyl 2-(2,4-dichlorophenoxy)acetate, i odide M",C[N+]12CCCCC1C(COC(=O)COc1ccc(Cl)cc1Cl)CCC2,522.6610,16997,Organic compounds,Alkaloids and derivatives,Lupin alkaloids,Lupinine-type alkaloids,Lupinine-type alkaloids,,,
20,0.7211,0.0003,152.0707,152.0710,RZVAJINKPMORJF,N-(4-hydroxyphenyl)acetamide,CC(=O)NC1=CC=C(O)C=C1,45.7580,365,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids,Aminoacids,Small peptides,Amino acids and Peptides; Shikimates and Phenylpropanoids
21,0.3029,76.0678,152.1071,76.0393,DHMQDGOQFOQNFH,glycine,NCC(=O)O,148.1750,2014,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Alpha amino acids,Aminoacids,Small peptides,Amino acids and Peptides
22,0.8149,0.0004,153.0546,153.0550,XQXPVVBIMDBYFF,4-HYDROXYPHENYL ACETIC ACID,C1=C(C=CC(=C1)O)CC(=O)O,120.4090,1052,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
23,0.8341,0.0003,153.0547,153.0550,XQXPVVBIMDBYFF,4-HYDROXYPHENYL ACETIC ACID,C1=C(C=CC(=C1)O)CC(=O)O,128.8720,1292,Organic compounds,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,1-hydroxy-2-unsubstituted benzenoids,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
24,0.7904,0.0002,153.0548,153.0550,FZHSPPYCNDYIKD,"Benzaldehyde, 2-hydroxy-5-methoxy-",COC1=CC(=C(C=C1)O)C=O,144.3840,1799,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,,Phenylpropanoids (C6-C3),Shikimates and Phenylpropanoids
25,0.8228,0.0000,153.0910,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,240.6770,6932,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
26,0.7658,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,90.4190,728,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
27,0.7788,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,32.8410,207,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
28,0.8390,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,219.7560,5928,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
29,0.7943,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,121.3320,1003,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
30,0.7658,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,138.6160,1592,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
31,0.8216,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,133.7860,1371,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
32,0.8216,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,180.1310,3753,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
33,0.8295,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,196.6770,4577,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
34,0.8142,0.0001,153.0911,153.0910,BDJRBEYXGGNYIS,AZELATE,OC(=O)CCCCCCCC(O)=O,194.2550,4371,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Medium-chain fatty acids,Dicarboxylic acids,Fatty Acids and Conjugates,Fatty acids
35,0.6246,0.0005,153.1275,153.1270,AZOCECCLWFDTAP,"(1R,4R)-Dihydrocarvone from METLIN",C[C@@H]1CC[C@H](CC1=O)C(=C)C,414.7130,15424,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Menthane monoterpenoids,Menthane monoterpenoids,Monoterpenoids,Terpenoids
36,0.6237,0.0003,154.0863,154.0860,WFCLWJHOKCQYOQ,1_acetylpiperidine_4_carboxylic_acid,CC(=O)N1CCC(CC1)C(=O)O,63.4790,552,Organic compounds,Organoheterocyclic compounds,Piperidines,Piperidinecarboxylic acids and derivatives,Piperidinecarboxylic acids,Pyrrolidine alkaloids,Ornithine alkaloids,Alkaloids
37,0.5503,253.0983,154.1227,407.2210,OJMMVQQUTAEWLP,"N-[2-hydroxy-1-(3,4,5-trihydroxy-6-methylsulfanyloxan-2-yl)propyl]-1-methyl-4-propylpyrrolidine-2-carboxamide",CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,109.6060,850,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Thioglycosides,Aminoglycosides,Aminosugars and aminoglycosides,Carbohydrates
38,0.4090,306.3670,154.9670,461.3340,MDSUKZSLOATHMH,Leu-Val,CC(C)C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)O)N,389.2180,14259,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Dipeptides,Dipeptides,Small peptides,Amino acids and Peptides
39,0.3459,241.3800,154.9670,396.3470,TYWACVZIFBZIQZ,"(2S,3S)-3-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid",CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H]([C@@H](C)CC)C(=O)O,369.4780,12974,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,N-acyl amines,Fatty amides,Fatty acids
40,0.3459,241.3800,154.9670,396.3470,UMOAAMQGRRCHPA,(2S)-4-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CC(C)C)C(=O)O,380.5770,13660,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Leucine and derivatives,N-acyl amines,Fatty amides,Fatty acids
41,0.3459,241.3567,154.9903,396.3470,TYWACVZIFBZIQZ,"(2S,3S)-3-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid",CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H]([C@@H](C)CC)C(=O)O,366.5080,12875,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,N-acyl amines,Fatty amides,Fatty acids
42,0.3041,22.8884,154.9904,132.1020,AGPKZVBTJJNPAG,ISOLEUCINE,CC[C@H](C)[C@H](N)C(O)=O,360.6430,12484,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Isoleucine and derivatives,Aminoacids,Small peptides,Amino acids and Peptides
43,0.3459,188.1956,154.9904,343.1860,DAOGFHQPAHSMQS,1_proprionylpyrrolidine_2_carboxylic_acid,CCC(=O)N1CCCC1C(=O)O,348.9610,11927,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",N-acyl-alpha amino acids,Dipeptides,Small peptides,Amino acids and Peptides
44,0.6811,0.0003,155.0703,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,186.2950,4089,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
45,0.3041,43.9897,155.0703,199.0600,JMSVCTWVEWCHDZ,Syringic acid,COC1=CC(=CC(=C1O)OC)C(=O)O,61.7350,496,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Gallic acid and derivatives,Simple phenolic acids,Phenolic acids (C6-C1),Shikimates and Phenylpropanoids
46,0.6246,0.0003,155.0703,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,77.7310,663,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
47,0.8341,0.0003,155.0703,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,166.3210,3033,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
48,0.7725,0.0004,155.0704,155.0700,XQDNFAMOIPNVES,"""3,5-DIMETHOXYPHENOL""",COC1=CC(=CC(=C1)OC)O,155.4930,2414,Organic compounds,Benzenoids,Phenols,Methoxyphenols,Methoxyphenols,Acyl phloroglucinols,Phloroglucinols,Polyketides
49,0.4090,562.3013,155.1067,717.4080,CPKXIKIVLSMABL,"[3-methyl-1-[3-methyl-1-[3-methyl-1-[3-methyl-1-oxo-1-(2,3,4,5,6-pentahydroxyhexoxy)pentan-2-yl]oxy-1-oxopentan-2-yl]oxy-1-oxopentan-2-yl]oxy-1-oxopentan-2-yl] 2-hydroxy-3-methylpentanoate [IIN-based on: CCMSLIB00000848597]",CCC(C)C(O)C(=O)OC(C(C)CC)C(=O)OC(C(C)CC)C(=O)OC(C(C)CC)C(=O)OC(C(C)CC)C(=O)OCC(O)C(O)C(O)C(O)CO,32.4820,194,Organic compounds,Organic acids and derivatives,Peptidomimetics,Depsipeptides,Depsipeptides,Polyesters,Linear polyketides,Polyketides
50,0.4090,657.3573,155.1067,812.4640,VLOGACFISZMMCN,"[3-methyl-1-[3-methyl-1-[3-methyl-1-[3-methyl-1-oxo-1-(2,3,4,5,6-pentahydroxyhexoxy)pentan-2-yl]oxy-1-oxopentan-2-yl]oxy-1-oxopentan-2-yl]oxy-1-oxopentan-2-yl] 2-acetyloxy-3-methylpentanoate [IIN-based: Match]",CCC(C)C(OC(C)=O)C(=O)OC(C(C)CC)C(=O)OC(C(C)CC)C(=O)OC(C(C)CC)C(=O)OC(C(C)CC)C(=O)OCC(O)C(O)C(O)C(O)CO,71.9550,620,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Hexacarboxylic acids and derivatives,Hexacarboxylic acids and derivatives,Polyesters,Linear polyketides,Polyketides
51,0.4090,539.5043,155.1067,694.6110,UGBCBXMLXHJYBS,TG(12:0/14:0/14:0),CCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC,83.5950,691,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Triradylcglycerols,Triacylglycerols,Triacylglycerols,Glycerolipids,Fatty acids
52,0.4090,404.2763,155.1067,559.3830,RZQNQMRSGMXXMH,"5-[5-(3,5-dihydroxydecanoyloxy)-3-hydroxydecanoyl]oxy-3-hydroxydecanoic acid",CCCCCC(O)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OC(CCCCC)CC(O)CC(O)=O,261.4010,8192,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives,Tricarboxylic acids and derivatives,Fatty acid estolides,Fatty esters,Fatty acids
53,0.3459,149.0843,155.1067,304.1910,ZOEVRBRMARFYMK,"(6-methyl-6-azabicyclo[4.4.0]dec-2-yl)methyl 2-hydroxybenzoate, iodide M",C[N+]12CCCCC1C(COC(=O)c1ccccc1O)CCC2,165.9540,2997,Organic compounds,Alkaloids and derivatives,Lupin alkaloids,Lupinine-type alkaloids,Lupinine-type alkaloids,,,
54,0.4096,369.2723,155.1067,524.3790,GYUCMTKUEQLBJW,"19-hydroxy-18-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyicosanoic acid",CC(O)C(CCCCCCCCCCCCCCCCC(O)=O)OC1OC(CO)C(O)C(O)C1O,213.5770,5521,Organic compounds,Lipids and lipid-like molecules,Saccharolipids,,Saccharolipids,Fatty acyl glycosides of mono- and disaccharides,Fatty acyl glycosides,Fatty acids
55,0.4090,382.2192,155.1068,537.3260,JPGYRFJJNVYGPI,"[3-hydroxy-1-oxo-1-(2,3,4,5,6-pentahydroxyhexoxy)decan-5-yl] 3,5-dihydroxydecanoate",CCCCCC(O)CC(O)CC(=O)OC(CCCCC)CC(O)CC(=O)OCC(O)C(O)C(O)C(O)CO,201.7460,4930,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols,Fatty alcohols,,,Fatty acids; Polyketides
56,0.4090,512.5300,155.1180,667.6480,DGORBCXEWSENPF,Cer(d18:0/24:0(2OH)),CCCCCCCCCCCCCCCCCCCCCCC(C(=O)N[C@@H](CO)[C@@H](CCCCCCCCCCCCCCC)O)O,114.2410,1008,Organic compounds,Lipids and lipid-like molecules,Sphingolipids,Ceramides,Ceramides,Ceramides,Sphingolipids,Fatty acids
57,0.3365,123.0210,155.1180,278.1390,IHYIZOZHEMEBGX,N-fumarylmexiletine,CC(COc1c(C)cccc1C)NC(=O)\C=C\C(O)=O,110.1030,843,Organic compounds,Benzenoids,Phenol ethers,,Phenol ethers,Simple amide alkaloids,Peptide alkaloids,Alkaloids
58,0.6246,0.0001,156.0111,156.0110,ZMCHBSMFKQYNKA,2-Aminobenzenesulfonic acid,Nc1ccccc1S(=O)(=O)O,147.0480,1955,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives,Benzenesulfonic acids and derivatives,,,
59,0.3459,153.1156,156.1384,309.2540,CMQOSWNHMUHIJJ,(E)-N-butyl-N-(1-(cyclohexylamino)-1-oxobutan-2-yl)but-2-enamide,C/C=C/C(=O)N(CCCC)C(CC)C(=O)NC1CCCCC1,187.1070,4147,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,,,
60,0.5542,70.0275,156.1385,226.1660,ISEUFVQQFVOBCY,"6-methoxy-2-N,4-N-di(propan-2-yl)-1,3,5-triazine-2,4-diamine",COC1=NC(NC(C)C)=NC(NC(C)C)=N1,140.9660,1696,Organic compounds,Organoheterocyclic compounds,Triazines,"1,3,5-triazines","2-methoxy-1,3,5-triazines",Phenylalanine-derived alkaloids,Pseudoalkaloids,Alkaloids
61,0.4090,278.2454,157.0496,435.2950,SCABKEBYDRTODC,bis[2-(2-butoxyethoxy)ethyl] hexanedioate,CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC,34.3780,230,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,Triacylglycerols,Glycerolipids,Fatty acids
62,0.3459,153.2971,157.0499,310.3470,UZFYSJNBWVQZQB,"(2R,6R)-2-methyl-6-pentadecylpiperidine",CCCCCCCCCCCCCCC[C@@H]1N[C@@H](C)CCC1,153.6570,2390,Organic compounds,Alkaloids and derivatives,,,Alkaloids and derivatives,Piperidine alkaloids,Lysine alkaloids,Alkaloids
63,0.3459,157.9007,157.0843,314.9850,ICUTUKXCWQYESQ,Triclocarban,ClC1=CC=C(NC(=O)NC2=CC=C(Cl)C(Cl)=C2)C=C1,33.1400,197,Organic compounds,Benzenoids,Benzene and substituted derivatives,Halobenzenes,Dichlorobenzenes,,,Shikimates and Phenylpropanoids
